sep=,
"Lượt xem"
"Ngày","Primary"
"2026-03-17T00:00:00","3591"
"2026-03-18T00:00:00","2641"
"2026-03-19T00:00:00","5983"
"2026-03-20T00:00:00","1642"
"2026-03-21T00:00:00","5170"
"2026-03-22T00:00:00","1325"
"2026-03-23T00:00:00","904"
"2026-03-24T00:00:00","695"
"2026-03-25T00:00:00","9910"
"2026-03-26T00:00:00","2108"
"2026-03-27T00:00:00","1187"
"2026-03-28T00:00:00","864"
"2026-03-29T00:00:00","748"
"2026-03-30T00:00:00","1620"
"2026-03-31T00:00:00","648"
"2026-04-01T00:00:00","575"
"2026-04-02T00:00:00","379"
"2026-04-03T00:00:00","238"
"2026-04-04T00:00:00","313"
"2026-04-05T00:00:00","418"
"2026-04-06T00:00:00","254"
"2026-04-07T00:00:00","289"
"2026-04-08T00:00:00","1448"
"2026-04-09T00:00:00","460"
"2026-04-10T00:00:00","3052"
"2026-04-11T00:00:00","1749"
"2026-04-12T00:00:00","3210"
"2026-04-13T00:00:00","3781"
"2026-04-14T00:00:00","6257"

