sep=,
"Lượt truy cập trên Facebook"
"Ngày","Primary"
"2026-03-17T00:00:00","95"
"2026-03-18T00:00:00","67"
"2026-03-19T00:00:00","49"
"2026-03-20T00:00:00","60"
"2026-03-21T00:00:00","273"
"2026-03-22T00:00:00","30"
"2026-03-23T00:00:00","43"
"2026-03-24T00:00:00","57"
"2026-03-25T00:00:00","185"
"2026-03-26T00:00:00","68"
"2026-03-27T00:00:00","36"
"2026-03-28T00:00:00","130"
"2026-03-29T00:00:00","348"
"2026-03-30T00:00:00","130"
"2026-03-31T00:00:00","90"
"2026-04-01T00:00:00","60"
"2026-04-02T00:00:00","80"
"2026-04-03T00:00:00","45"
"2026-04-04T00:00:00","26"
"2026-04-05T00:00:00","48"
"2026-04-06T00:00:00","59"
"2026-04-07T00:00:00","46"
"2026-04-08T00:00:00","122"
"2026-04-09T00:00:00","56"
"2026-04-10T00:00:00","76"
"2026-04-11T00:00:00","183"
"2026-04-12T00:00:00","113"
"2026-04-13T00:00:00","69"
"2026-04-14T00:00:00","80"

