sep=,
"Lượt tương tác với nội dung"
"Ngày","Primary"
"2026-03-17T00:00:00","79"
"2026-03-18T00:00:00","46"
"2026-03-19T00:00:00","104"
"2026-03-20T00:00:00","29"
"2026-03-21T00:00:00","76"
"2026-03-22T00:00:00","17"
"2026-03-23T00:00:00","2"
"2026-03-24T00:00:00","4"
"2026-03-25T00:00:00","98"
"2026-03-26T00:00:00","15"
"2026-03-27T00:00:00","8"
"2026-03-28T00:00:00","4"
"2026-03-29T00:00:00","6"
"2026-03-30T00:00:00","32"
"2026-03-31T00:00:00","9"
"2026-04-01T00:00:00","7"
"2026-04-02T00:00:00","9"
"2026-04-03T00:00:00","2"
"2026-04-04T00:00:00","2"
"2026-04-05T00:00:00","0"
"2026-04-06T00:00:00","0"
"2026-04-07T00:00:00","0"
"2026-04-08T00:00:00","38"
"2026-04-09T00:00:00","4"
"2026-04-10T00:00:00","33"
"2026-04-11T00:00:00","12"
"2026-04-12T00:00:00","41"
"2026-04-13T00:00:00","63"
"2026-04-14T00:00:00","175"

