sep=,
"Người xem"
"Ngày","Primary"
"2026-03-17T00:00:00","2374"
"2026-03-18T00:00:00","1668"
"2026-03-19T00:00:00","4566"
"2026-03-20T00:00:00","1071"
"2026-03-21T00:00:00","2381"
"2026-03-22T00:00:00","776"
"2026-03-23T00:00:00","457"
"2026-03-24T00:00:00","270"
"2026-03-25T00:00:00","5924"
"2026-03-26T00:00:00","1184"
"2026-03-27T00:00:00","645"
"2026-03-28T00:00:00","475"
"2026-03-29T00:00:00","349"
"2026-03-30T00:00:00","801"
"2026-03-31T00:00:00","322"
"2026-04-01T00:00:00","238"
"2026-04-02T00:00:00","367"
"2026-04-03T00:00:00","205"
"2026-04-04T00:00:00","137"
"2026-04-05T00:00:00","132"
"2026-04-06T00:00:00","89"
"2026-04-07T00:00:00","75"
"2026-04-08T00:00:00","338"
"2026-04-09T00:00:00","141"
"2026-04-10T00:00:00","1335"
"2026-04-11T00:00:00","875"
"2026-04-12T00:00:00","2165"
"2026-04-13T00:00:00","2719"
"2026-04-14T00:00:00","5316"

